aah	ah
brutalise	brútalíz
brutality	brútalité
brutalize	brútalíz
brute	bruʷt
bubble	bubel
buccaneer	bukanér
buck	buk
bucket	buket
buckle	bukel
bud	bud
buddhist	bq̇dist
buddy	budé
budge	buj
budget	bujet
budgy	bujé
buff	buf
buffalo	bufaló
buffer	bufer
buffet	bufaʸ
buffet	bufet
bug	bug
bugger	buger
buggy	bugé
bugle	búgel
build	bild
builder	bilder
building	bildiŋ
bulb	bulb
bulgarian	bulgarian
bulge	bulj
bulk	bulk
bulkhead	bulkhed
bulky	bulké
bull	bql
bullard	bqlard
bulldog	bqldog
bulldoze	bqldóz
bulldozer	bqldózer
bullet	bqlet
bulletin	bqletin
bullfight	bqlfiʸt
bullock	bqlok
bullrush	bqlrux
bully	bqlé
bulmer	bulmer
bulwark	bqlwork
bum	bum
bumble	bumbel
bump	bump
bumper	bumper
bun	bun
bunch	bunc
bundle	bundel
bung	buŋ
bungalow	buŋgaló
bungle	buŋgel
bunk	buŋk
bunker	buŋker
bunny	buné
bunnyman	bunéman
bunting	buntiŋ
buoy	bq̇é
burble	burbel
burden	burden
bureau	búró
bureaucracy	búrokrasé
bureaucrat	búrokrat
burgeon	burjon
burger	burger
burgess	burjes
burglar	burglar
burglary	burglaré
burgle	burgel
burgundian	burgundian
burial	berial
burlesque	burlesk
burman	burman
burn	burn
burner	burner
burning	burniŋ
burnish	burnix
burp	burp
burr	bur
burrow	buró
bursary	bursaré
burst	burst
bury	beré
buryat	buriat
bus	bus
buse	buʷz
bush	bqx
bushel	bqxel
bushman	bqxman
business	biznes
businessman	biznesman
busk	busk
busker	busker
busload	busloʷd
busman	busman
buss	bus
bust	bust
buster	buster
bustle	busel
busty	busté
busy	bizé
busybody	bizébodé
but	but
butcher	bqcer
butler	butler
butt	but
butter	buter
buttercup	buterkup
butterfly	buterfliʸ
buttock	butok
button	buton
buttonhole	butonhoʷl
buttress	butres
butty	buté
buy	biʸ
buyer	biʸer
buyout	biʸqʷt
buz	buz
buzz	buz
buzzard	buzard
buzze	buz
bye	biʸ
byelaw	bílå
bygone	bígon
bylaw	bílå
bypass	bípas
byproduct	bíprodukt
bystander	bístander
byte	biʸt
byway	bíwaʸ
byzantine	bizantén
cab	kab
cabal	kabal
caballero	kabayeró
cabbage	kabaj
cabby	kabé
cabin	kabin
cabinet	kabinet
cable	kábel
cache	kax
cackle	kakel
cactus	kaktus
cad	kad
cadaver	kadaver
caddy	kadé
cadence	kádens
cadenza	kadenza
cadet	kadet
cadre	kadré
cafe	kafaʸ
cafeteria	kafetéria
cage	kaʸj
cahoot	kahq̇t
cairn	kaʸrn
cajole	kajól
cake	kaʸk
cal	kal
calamity	kalamité
calcify	kalsifí
calculate	kalkúlát
calculation	kalkúlásion
calculator	kalkúlátor
calendar	kalendar
calf	kaf
calibrate	kalibrát
calibration	kalibrásion
californian	kalifornian
caliper	kaliper
call	kål
caller	kåler
calling	kåliŋ
calm	kalm
calvinist	kalvinist
cam	kam
cambodian	kambódian
camcorder	kamkorder
camel	kamel
cameo	kaméó
camera	kamera
cameraman	kameraman
camouflage	kamqflazj
camp	kamp
campaign	kampán
campaigner	kampáner
camper	kamper
campsite	kampsiʸt
can	kan
canaanite	kánanít
canadian	kanádian
canal	kanal
canary	kanáré
cancel	kansel
cancelation	kanselasion
cancellation	kanselasion
cancer	kanser
candidate	kandidat
candle	kandel
candlestick	kandelstik
cane	kaʸn
canine	kánín
canister	kanister
cannibal	kanibal
cannibalise	kanibalíz
cannibalize	kanibalíz
cannon	kanon
cannonball	kanonbål
cannula	kanúla
canoe	kanq̇
canoeist	kanq̇ist
canon	kanon
canonise	kanoníz
canonize	kanoníz
canopy	kanopé
cant	kant
cantata	kantata
canteen	kantén
canter	kanter
canto	kantó
canton	kanton
canvas	kanvas
canvass	kanvas
canvasser	kanvaser
canyon	kanion
cap	kap
capability	kápabilité
capacitance	kapasitans
capacitor	kapasitor
capacity	kapasité
cape	kaʸp
caper	káper
capillary	kapilaré
capital	kapital
capitalise	kapitalíz
capitalist	kapitalist
capitalize	kapitalíz
capitulary	kapitúlaré
capitulate	kapitúlát
caprice	kaprés
capsize	kapsíz
capsule	kapsul
captain	kaptan
caption	kapsion
captivate	kaptivát
captive	kaptiv
captor	kaptor
capture	kaptúr
caput	kapqt
car	kar
caramel	karamel
carat	karat
caravan	karavan
carb	karb
carbohydrate	karbóhídrát
carbon	karbon
carbonate	karbonát
carbuncle	karbuŋkel
carcass	karkas
carcinogen	karsinojen
carcinoid	karsinoʸd
carcinoma	karsinóma
card	kard
cardholder	kardhoʷlder
cardigan	kardigan
cardinal	kardinal
care	kaʸr
careen	karén
career	karér
careerist	karérist
caregiver	kaʸrgiver
carer	kaʸrer
caress	kares
caretaker	kaʸrtaʸker
cargo	kargó
caricature	karikatúr
carlist	karlist
carmaker	karmaʸker
carman	karman
carmelite	karmelít
carnation	karnásion
carnival	karnival
carnivore	karnivór
carol	karol
carolingian	karolinjian
carouse	karq́z
carousel	karqsel
carp	karp
carpathian	karpáþian
carpenter	karpenter
carpet	karpet
carriage	karaj
carriageway	karajʷaʸ
carrier	karéer
carrot	karot
carry	karé
cart	kart
cartel	kartel
carter	karter
carthaginian	karþajinian
cartload	kartloʷd
cartographer	kartografer
carton	karton
cartoon	kartq̇n
cartoonist	kartq̇nist
cartridge	kartrij
cartwheel	karthweʸl
carve	karv
carver	karver
carving	karviŋ
cascade	kaskád
case	kaʸs
caseload	kaʸsloʷd
casement	kaʸsment
cash	kax
cashew	kaxú
cashier	kaxér
casing	kaʸsiŋ
casino	kasénó
cask	kask
casket	kasket
casserole	kaseról
cassette	kaset
cast	kast
caste	kast
caster	kaster
castigate	kastigát
casting	kastiŋ
castle	kasel
castor	kastor
castrate	kastrát
casual	kazúal
casualty	kazúalté
cat	kat
catacomb	katakóm
catalan	katalan
catalogue	katalog
cataloguer	kataloger
catalyse	katalíz
catalyst	katalist
catamaran	katamaran
catapult	katapult
cataract	katarakt
catastrophe	katastrofé
catcall	katkål
catch	kac
catcher	kacer
catchment	kacment
catchphrase	kacfraʸz
catechism	katekizem
catechist	katekist
categorise	kategoríz
categorization	kategorizásion
categorize	kategoríz
category	kategoré
cater	káter
caterer	káterer
caterpillar	katerpilar
cathedral	kaþédral
catheter	kaþeter
catholic	kaþolik
catwalk	katwåk
caucasian	kåkázian
cauldron	kåldron
cauliflower	koliflq́r
cause	kåz
causeway	kåzʷaʸ
caution	kåsion
cavalcade	kavalkád
cavalier	kavalér
cavalryman	kavalréman
cave	kaʸv
caveat	kavéat
caveman	kaʸvman
caver	kaʸver
cavern	kavern
cavity	kavité
cavort	kavort
caw	kå
cease	seʸs
ceasefire	seʸsfiʸr
cedar	sédar
cede	seʸd
ceiling	séliŋ
celeb	seleb
celebrant	selebrant
celebrate	selebrát
celebration	selebrásion
celebrity	selebrité
cell	sel
cellar	selar
cello	celó
cellphone	selfoʷn
celt	kelt
cement	sement
cemetery	semeteré
censor	sensor
censure	sensúr
census	sensus
cent	sent
centaur	sentår
centenarian	sentenarian
center	senter
centimetre	sentiméter
centipede	sentipéd
centralise	sentralíz
centralize	sentralíz
centre	senter
centrepiece	senterpeʸs
centrifuge	sentrifúj
centrist	sentrist
century	sentúré
cephalopod	sefalopod
ceptor	septor
ceramic	seramik
cereal	séréal
ceremonial	seremónial
ceremony	seremóné
certainty	sertanté
certificate	sertificat
certify	sertifí
cesspool	sespq̇l
cetacean	setásian
chafe	caʸf
chaff	caf
chain	caʸn
chainsaw	caʸnså
chair	caʸr
chairman	caʸrman
chairmanship	caʸrmanxip
chairperson	caʸrperson
chakra	cakra
chalet	xalaʸ
chalice	calis
chalk	cåk
challenge	calenj
challenger	calenjer
chamber	cámber
chamberlain	cámberlan
chambermaid	cámbermaʸd
chameleon	kaméléon
champ	camp
champagne	xampán
champion	campion
championship	campionxip
chance	cans
chancellor	canselor
chandelier	xandelér
chandler	candler
change	caʸnj
changeling	caʸnjliŋ
changer	caʸnjer
channel	canel
chant	cant
chap	cap
chapel	capel
chaperon	xaperón
chaplain	caplan
chappy	capé
chapter	capter
char	car
character	karakter
characterisation	karakterizásion
characterise	karakteríz
characteristic	karakteristik
characterization	karakterizásion
characterize	karakteríz
chardonnay	xardonaʸ
charge	carj
chargee	carjé
chargepayer	carjpaʸer
charger	carjer
chariot	cariot
charioteer	cariotér
charismatic	karizmatik
charity	carité
charlatan	xarlatan
charm	carm
chart	cart
charter	carter
charterer	carterer
chartist	cartist
chase	caʸs
chaser	caʸser
chasm	kazem
chasten	caʸsen
chastise	castíz
chat	cat
chattel	catel
chatter	cater
chauffeur	xófer
chauvinist	xóvinist
cheap	ceʸp
cheapen	ceʸpen
cheat	ceʸt
check	cek
checker	ceker
checklist	ceklist
checkout	cekqʷt
checkpoint	cekpoʸnt
cheek	ceʸk
cheekbone	ceʸkboʷn
cheeky	ceʸké
cheer	ceʸr
cheerleader	ceʸrleʸder
cheery	ceʸré
cheese	ceʸz
cheesecake	ceʸzkaʸk
cheesemaker	ceʸzmaʸker
cheetah	céta
chef	xef
chemical	kemikal
chemist	kemist
cheque	cek
chequebook	cekbqk
cherish	cerix
cherry	ceré
chert	cert
cherub	cerub
chest	cest
chesterfield	cesterféld
chestnut	cesnut
chevron	xevron
chew	cuʷ
chicane	xikán
chick	cik
chicken	ciken
chickpea	cikpeʸ
chide	ciʸd
chief	ceʸf
chieftain	ceʸftan
child	ciʸld
childhood	ciʸldhqd
children	cildren
chili	cilé
chill	cil
chilly	cilé
chimaera	kímera
chime	ciʸm
chimney	cimné
chimp	cimp
chimpanzee	cimpanzé
chin	cin
chink	ciŋk
chino	cénó
chip	cip
chipping	cipiŋ
chirp	cirp
chirrup	cirup
chisel	cizel
chit	cit
chive	ciʸv
chivvy	civé
chloride	klóríd
chlorinate	klórinát
chloroplast	klóroplast
chock	cok
chocolate	cokolat
choice	cois
choir	kwiʸr
choirboy	kwiʸrboʸ
choke	coʷk
chomp	comp
choose	cuʷz
chooser	cuʷzer
chop	cop
chopper	coper
chopstick	copstik
chord	kord
chordate	kordát
chore	coʷr
choreograph	koréograf
choreographer	koréografer
chortle	cortel
chorus	kórus
chose	coʷz
christen	krisen
christening	kriseniŋ
christian	kristian
christianise	kristianíz
christy	kristé
chromosome	krómosóm
chronicle	kronikel
chronicler	kronikeler
chronology	kronolojé
chrysanthemum	krisanþemum
chuck	cuk
chuckle	cukel
chuff	cuf
chug	cug
chukchi	cq̇kcé
chum	cum
chunk	cuŋk
church	curc
churchgo	curcgoʷ
churchgoer	curcgoʷer
churchman	curcman
churchwarden	curcworden
churchyard	curcyard
churn	curn
chute	xuʷt
chutney	cutné
cicada	sikáda
cig	sig
cigar	sigar
cigarette	sigaret
ciggy	sigé
cinder	sinder
cinema	sinema
cipher	sífer
circle	sirkel
circuit	sirkut
circular	sirkúlar
circulate	sirkúlát
circulation	sirkúlásion
circumcise	sirkumsíz
circumference	sirkumferens
circumnavigate	sirkumnavigát
circumscribe	sirkumscríb
circumstance	sirkumstans
circumvent	sirkumvent
circus	sirkus
cistercian	sistersian
cistern	sistern
citadel	sitadel
citation	sításion
cite	siʸt
citizen	sitizen
city	sité
civil	sivil
civilian	sivilian
civilisation	sivilizásion
civilise	sivilíz
civilization	sivilizásion
clack	klak
claim	klaʸm
claimant	klaʸmant
clam	klam
clamber	klamber
clamour	klamor
clamp	klamp
clan	klan
clang	klaŋ
clank	klaŋk
clansman	klanzman
clap	klap
clapper	klaper
clarification	klarifikásion
clarify	klarifí
clarinet	klarinet
clash	klax
clasp	klasp
class	klas
classic	klasik
classicist	klasisist
classification	klasifikásion
classifier	klasifíer
classify	klasifí
classmate	klasmaʸt
classroom	klasrq̇m
classy	klasé
clast	klast
clatter	klater
clause	klåz
claw	klå
clay	klaʸ
clean	kleʸn
cleaner	kleʸner
cleanse	klenz
cleanser	klenzer
clear	kleʸr
clearance	kleʸrans
clearer	kleʸrer
clearing	kleʸriŋ
clearinghouse	kleʸriŋhqʷs
cleat	kleʸt
cleavage	kleʸvaj
cleave	kleʸv
clef	klef
cleft	kleft
clench	klenc
clergyman	klerjéman
cleric	klerik
clerk	klerk
clever	klever
cliche	kléxaʸ
click	klik
client	klíent
cliff	klif
clifftop	kliftop
climate	klímat
climatologist	klímatolojist
climax	klímaks
climb	kliʸm
climber	kliʸmer
clime	kliʸm
clinch	klinc
cling	kliŋ
clinic	klinik
clinician	klinisian
clink	kliŋk
clip	klip
clipboard	klipboʷrd
clipper	kliper
clipping	klipiŋ
clique	kleʸk
cloak	kloʷk
cloakroom	kloʷkrq̇m
clobber	klober
clock	klok
clod	klod
clog	klog
cloister	kloʸster
clone	kloʷn
cloner	kloʷner
close	kloʷs
close	kloʷz
closet	klozet
closure	klózúr
clot	klot
cloth	kloþ
clothe	kloʷð
clothier	klóðier
clothworker	kloþwurker
cloud	klqʷd
clout	klqʷt
clove	kloʷv
clover	klóver
clown	klqʷn
club	klub
clubber	kluber
cluck	kluk
clue	kluʷ
clump	klump
clumsy	klumzé
clunk	kluŋk
cluster	kluster
clutch	kluc
clutter	kluter
coach	koʷc
coachload	koʷcloʷd
coachman	koʷcman
coagulate	kóagúlát
coal	koʷl
coalesce	kóales
coalfield	koʷlfeʸld
coalition	kóalision
coalitionist	kóalisionist
coalmine	koʷlmiʸn
coarse	koʷrs
coarsen	koʷrsen
coast	koʷst
coaster	koʷster
coastguard	koʷstgard
coastland	koʷstland
coastline	koʷstliʸn
coat	koʷt
coating	koʷtiŋ
coax	koʷks
cob	kob
cobble	kobel
cobbler	kobeler
cobblestone	kobelstoʷn
cobra	kóbra
cobweb	kobʷeb
cock	kok
cockatoo	kokatq̇
cockerel	kokerel
cockfight	kokfiʸt
cockle	kokel
cockler	kokeler
cockney	kokné
cockpit	kokpit
cockroach	kokróc
cocktail	koktál
coconut	kókonut
cocoon	kokq̇n
coddle	kodel
code	koʷd
codename	koʷdnaʸm
codex	kódeks
codify	kódifí
coding	koʷdiŋ
coefficient	kóefisient
coerce	kóers
coexist	kóegzist
coffee	kofé
coffer	kofer
coffin	kofin
cog	kog
cognition	kognision
cohabit	kóhabit
cohabitee	kóhabité
cohort	kóhort
coil	koʸl
coin	koʸn
coinage	koʸnaj
coincide	kóinsíd
coincidence	kóinsidens
coke	koʷk
cola	kóla
cold	koʷld
cole	koʷl
collaborate	kolaborát
collaboration	kolaborásion
collaborator	kolaborátor
collage	kolazj
collapse	kolaps
collar	kolar
collate	kolát
colleague	kolég
collect	kolekt
collectable	kolektabel
collection	koleksion
collective	kolektiv
collectivity	kolektivité
collector	kolektor
college	kolej
collegian	koléjian
collide	kolíd
collier	kolier
collision	kolizion
collocate	kolokát
collocation	kolokásion
colloid	koloʸd
collude	kolúd
colly	kolé
colombian	kolumbian
colon	kólon
colonel	kuronel
colonial	kolónial
colonialist	kolónialist
colonise	koloníz
coloniser	kolonízer
colonist	kolonist
colonize	koloníz
colonizer	kolonízer
colonnade	kolonád
colonoscopy	kolonoskopé
colony	koloné
color	kulor
colour	kulor
colourant	kulorant
coloured	kulord
colouring	kuloriŋ
colourist	kulorist
colourway	kulorwaʸ
colt	koʷlt
column	kolum
columnist	kolumnist
coma	kóma
comb	koʷm
combat	kombat
combatant	kombatant
comber	koʷmer
combination	kombinásion
combine	kombín
combo	kombó
come	kum
comeback	kumbak
comedian	komédian
comedy	komedé
comer	kumer
comet	komet
comfort	kumfort
comforter	kumforter
comic	komik
coming	kumiŋ
comm	kom
comma	koma
command	komand
commandeer	komandér
commander	komander
commandment	komandment
commando	komandó
commemorate	komemorát
commemoration	komemorásion
commence	komens
commend	komend
commendation	komendásion
comment	koment
commentary	komentaré
commentate	komentát
commentator	komentátor
commercial	komersial
commercialise	komersialíz
commercialize	komersialíz
commie	komé
commiserate	komizerát
commiseration	komizerásion
commissar	komisar
commission	komision
commissioner	komisioner
commit	komit
commitment	komitment
committal	komital
committee	komité
commode	komód
commodity	komodité
commodore	komodór
common	komon
commonality	komonalité
commoner	komoner
commonplace	komonplaʸs
commune	komún
communicant	komúnikant
communicate	komúnikát
communication	komúnikásion
communicator	komúnikátor
communion	komúnion
communist	komúnist
community	komúnité
commute	komút
commuter	komúter
comp	komp
compact	kompakt
companion	kompanion
company	kompané
comparative	komparativ
compare	kompár
comparison	komparison
compartment	kompartment
compartmentalise	kompartmentalíz
compartmentalize	kompartmentalíz
compass	kompas
compatible	kompatibel
compatriot	kompátriot
compel	kompel
compendium	kompendium
compensate	kompensát
compensation	kompensásion
compete	kompét
competence	kompetens
competency	kompetensé
competition	kompetision
competitor	kompetitor
compilation	kompilásion
compile	kompíl
compiler	kompíler
complain	komplán
complainant	komplánant
complaint	komplánt
complement	komplement
complete	komplét
completion	komplésion
complex	kompleks
complexion	kompleksion
complexity	kompleksité
complicate	komplikát
complication	komplikásion
compliment	kompliment
comply	komplí
component	kompónent
compose	kompóz
composer	kompózer
composite	kompozit
composition	kompozision
compositor	kompozitor
compost	kompóst
compound	kompq́nd
comprehend	komprehend
comprehensive	komprehensiv
compress	kompres
compression	kompresion
compressor	kompresor
comprise	kompríz
compromise	kompromíz
compulsion	kompulsion
computation	kompútásion
compute	kompút
computer	kompúter
computerise	kompúteríz
comrade	komrad
con	kon
concatenate	konkatenát
conceal	konsél
concede	konséd
conceit	konsét
conceive	konsév
concentrate	konsentrát
concentration	konsentrásion
concentrator	konsentrátor
concept	konsept
conception	konsepsion
conceptualise	konseptúalíz
conceptualization	konseptúalizásion
conceptualize	konseptúalíz
concern	konsern
concert	konsert
concerto	koncertó
concession	konsesion
concierge	konsierzj
conciliator	konsiliátor
conclude	konklúd
conclusion	konklúzion
concoct	konkokt
concoction	konkoksion
concomitant	konkomitant
concordance	konkordans
concrete	konkrét
concubine	konkúbín
concur	konkur
concuss	konkus
condemn	kondem
condemnation	kondemnásion
condense	kondens
condescend	kondesend
condiment	kondiment
condition	kondision
conditional	kondisional
conditioner	kondisioner
condolence	kondólens
condom	kondom
condon	kondon
condone	kondón
condor	kondor
conduct	kondukt
conductor	konduktor
conduit	kondúit
cone	koʷn
confection	konfeksion
confectioner	konfeksioner
confederate	konfederat
confederation	konfederásion
confer	konfer
conference	konferens
confess	konfes
confession	konfesion
confessional	konfesional
confessor	konfesor
confidant	konfidant
confide	konfíd
confidence	konfidens
configuration	konfigúrásion
configure	konfigúr
confine	konfín
confinement	konfínment
confirm	konfirm
confirmation	konfirmásion
confiscate	konfiskát
confiscation	konfiskásion
conflate	konflát
conflict	konflikt
conform	konform
conformation	konformásion
conformist	konformist
confound	konfq́nd
confront	konfrunt
confrontation	confruntásion
confuse	konfúz
confusion	konfúzion
congeal	konjél
congestion	konjestion
conglomerate	konglomerat
congratulate	kongratúlát
congregate	kongregát
congregation	kongregásion
congress	kongres
congressman	kongresman
congruence	kongrúens
conifer	konifer
conjecture	konjektúr
conjoin	konjoʸn
conjugate	konjúgát
conjunction	konjuŋksion
conjure	konjúr
conk	koŋk
conker	koŋker
conman	konman
connect	konekt
connection	kokeksion
connective	konektiv
connector	konektor
connexion	koneksion
connive	konív
connoisseur	konaser
connotation	konotásion
connote	konót
conquer	koŋker
conqueror	koŋkeror
conquest	koŋkwest
conquistador	konkéstador
conscience	konsiens
consciousness	konsiosnes
conscript	konskript
consecrate	konsekrát
consent	konsent
consequence	konsekwens
conservationist	konservásionist
conservative	konservativ
conservator	konservator
